title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,release_year,profit,ROI,roi_percentage
Cyrus,FoxS,7500000.0,2500000.0,2010,27,2010-06-18,Cyrus,7000000,7468936,10062896,2010,3062896,0.4375565714285714,43.75565714285714
Conviction,FoxS,6800000.0,2900000.0,2010,28,2010-10-15,Conviction,12500000,6797696,11826980,2010,-673020,-0.0538416,-5.3841600000000005
Get Low,SPC,9200000.0,518000.0,2010,23,2010-07-30,Get Low,7000000,9176933,10828305,2010,3828305,0.5469007142857143,54.69007142857143
Stone,Over.,1800000.0,7700000.0,2010,50,2010-10-08,Stone,22000000,1810078,4065020,2010,-17934980,-0.8152263636363636,-81.52263636363635
Never Let Me Go,FoxS,2400000.0,7000000.0,2010,29,2010-09-15,Never Let Me Go,15000000,2434652,11173718,2010,-3826282,-0.25508546666666665,-25.508546666666664
MacGruber,Uni.,8500000.0,797000.0,2010,42,2010-05-21,MacGruber,10000000,8525600,8629895,2010,-1370105,-0.1370105,-13.70105
City Island,Anch.,6700000.0,1200000.0,2010,52,2010-03-19,City Island,6000000,6671283,8173486,2010,2173486,0.3622476666666667,36.22476666666667
Inside Job,SPC,4300000.0,3600000.0,2010,17,2010-10-08,Inside Job,2000000,4311834,7799257,2010,5799257,2.8996285,289.96285
The Joneses,RAtt.,1500000.0,5500000.0,2010,88,2010-04-16,The Joneses,10000000,1475746,3541565,2010,-6458435,-0.6458435,-64.58435
Centurion,Magn.,124000.0,6700000.0,2010,46,2010-08-27,Centurion,15000000,123570,7885048,2010,-7114952,-0.47433013333333335,-47.433013333333335
Animal Kingdom,SPC,1000000.0,5700000.0,2010,71,2010-08-13,Animal Kingdom,4200000,1044039,8078683,2010,3878683,0.9234959523809524,92.34959523809523
Nowhere Boy,Wein.,1500000.0,5100000.0,2010,6,2010-10-08,Nowhere Boy,1900000,1445366,7785229,2010,5885229,3.097488947368421,309.7488947368421
It's Kind of a Funny Story,Focus,6400000.0,128000.0,2010,1,2010-10-08,It's Kind of a Funny Story,8000000,6363628,6632950,2010,-1367050,-0.17088125,-17.088125
Solitary Man,Anch.,4400000.0,818000.0,2010,30,2010-05-21,Solitary Man,12500000,4360548,4360548,2010,-8139452,-0.65115616,-65.115616
Rabbit Hole,LGF,2200000.0,2900000.0,2010,52,2010-12-17,Rabbit Hole,5000000,2229058,6205034,2010,1205034,0.2410068,24.10068
Mother and Child,SPC,1100000.0,3900000.0,2010,48,2010-05-07,Mother and Child,7000000,1110509,6537179,2010,-462821,-0.06611728571428571,-6.611728571428571
The Runaways,App.,3600000.0,1100000.0,2010,57,2010-03-19,The Runaways,9500000,3573673,5278632,2010,-4221368,-0.4443545263157895,-44.43545263157895
Four Lions,Drft.,305000.0,4400000.0,2010,79,2010-11-05,Four Lions,3750000,310007,2436111,2010,-1313889,-0.3503704,-35.037040000000005
Please Give,SPC,4000000.0,280000.0,2010,15,2010-04-30,Please Give,3000000,4033574,4570178,2010,1570178,0.5233926666666666,52.33926666666666
Monsters,Magn.,237000.0,4000000.0,2010,50,2010-10-29,Monsters,500000,237301,5639730,2010,5139730,10.27946,1027.946
The Killer Inside Me,IFC,217000.0,3800000.0,2010,11,2010-06-18,The Killer Inside Me,13000000,217277,3617277,2010,-9382723,-0.721747923076923,-72.1747923076923
The Perfect Game,IW,1000000.0,2800000.0,2010,36,2010-04-16,The Perfect Game,12500000,1089445,3931367,2010,-8568633,-0.68549064,-68.549064
To Save a Life,Gold.,3800000.0,45800.0,2010,35,2010-01-22,To Save a Life,500000,3777210,3824868,2010,3324868,6.649736,664.9736
Wild Target,Free,109000.0,3300000.0,2010,28,2010-10-29,Wild Target,8000000,109338,5314194,2010,-2685806,-0.33572575,-33.572575
Kites,Relbig.,1600000.0,1300000.0,2010,66,2010-05-21,Kites,9200000,1685269,17155193,2010,7955193,0.8646948913043478,86.46948913043478
Letters to God,Viv.,2800000.0,60300.0,2010,25,2010-04-09,Letters to God,3000000,2848587,3237452,2010,237452,0.07915066666666666,7.915066666666666
Fish Tank,IFC,375000.0,2000000.0,2010,36,2010-01-15,Fish Tank,3000000,374675,5922292,2010,2922292,0.9740973333333334,97.40973333333334
Housefull,Eros,1200000.0,1200000.0,2010,34,2010-04-30,Housefull,10100000,1183658,18726300,2010,8626300,0.8540891089108911,85.4089108910891
After.Life,Anch.,109000.0,1900000.0,2010,49,2010-04-09,After.Life,4500000,108596,2481925,2010,-2018075,-0.4484611111111111,-44.84611111111111
Ondine,Magn.,550000.0,1100000.0,2010,35,2010-06-04,Ondine,12000000,550472,557545,2010,-11442455,-0.9535379166666667,-95.35379166666667
The City of Your Final Destination,Scre.,493000.0,859000.0,2010,57,2010-04-16,The City of Your Final Destination,8300000,493296,1353296,2010,-6946704,-0.8369522891566266,-83.69522891566265
Ajami,Kino,622000.0,669000.0,2010,60,2010-02-03,Ajami,1000000,621859,2721096,2010,1721096,1.721096,172.1096
Casino Jack,ATO,1000000.0,40700.0,2010,32,2010-12-17,Casino Jack,12500000,2039869,2272186,2010,-10227814,-0.81822512,-81.822512
Leaves of Grass,First,70100.0,949000.0,2010,17,2010-04-02,Leaves of Grass,9000000,70066,85527,2010,-8914473,-0.990497,-99.0497
Carlos,IFC,146000.0,726000.0,2010,47,2010-10-15,Carlos,18000000,145526,1619153,2010,-16380847,-0.9100470555555555,-91.00470555555556
The Disappearance of Alice Creed,Anch.,167000.0,701000.0,2010,97,2010-08-06,The Disappearance of Alice Creed,1500000,166980,1605139,2010,105139,0.07009266666666666,7.009266666666666
Life During Wartime,IFC,281000.0,487000.0,2010,44,2010-07-23,Life During Wartime,4500000,281447,281447,2010,-4218553,-0.9374562222222222,-93.74562222222222
Enter the Void,IFC,336000.0,418000.0,2010,77,2010-09-24,Enter the Void,16000000,337997,1467278,2010,-14532722,-0.908295125,-90.82951249999999
The Secret of Kells,GK,677000.0,62700.0,2010,17,2010-03-05,The Secret of Kells,8000000,690290,3582797,2010,-4417203,-0.552150375,-55.215037499999994
All Good Things,Magn.,582000.0,62500.0,2010,96,2010-12-03,All Good Things,20000000,582024,873617,2010,-19126383,-0.95631915,-95.631915
Chain Letter,NFC,139000.0,447000.0,2010,43,2010-10-01,Chain Letter,3000000,205842,1022453,2010,-1977547,-0.6591823333333333,-65.91823333333333
I Spit on Your Grave,Anch.,93100.0,480000.0,2010,37,2010-10-08,I Spit on Your Grave,1750000,93051,1278471,2010,-471529,-0.2694451428571429,-26.944514285714288
The Extra Man,Magn.,453000.0,4500.0,2010,53,2010-07-30,The Extra Man,7000000,453377,492108,2010,-6507892,-0.9296988571428572,-92.96988571428571
The Tempest,Mira.,278000.0,68700.0,2010,1,2010-12-10,The Tempest,20000000,277943,277943,2010,-19722057,-0.98610285,-98.610285
The Good Heart,Magn.,20900.0,323000.0,2010,73,2010-04-30,The Good Heart,3800000,20930,340930,2010,-3459070,-0.9102815789473684,-91.02815789473684
